step,loss,lr,mem_alloc_mib,mem_reserved_mib,tokens_this_step,tokens_per_sec,elapsed_s
1,1.28287,0.0002,6069.5,7936.0,2794,503.7,5.547
2,1.34776,0.0002,6060.9,7948.0,2418,421.1,11.289
3,0.98923,0.0001999,6097.9,7948.0,3222,649.05,16.253
4,0.88508,0.0001994,6020.9,7988.0,2342,577.84,20.306
5,0.65362,0.0001987,6090.2,7988.0,2505,624.18,24.32
6,0.66555,0.0001977,6033.4,7988.0,2470,606.85,28.39
7,0.58265,0.0001965,6033.7,7988.0,2065,511.24,32.429
8,0.44142,0.0001949,6150.4,7988.0,3137,697.16,36.929
9,0.36362,0.0001931,6159.0,8368.0,3927,713.0,42.436
10,0.34819,0.0001911,6053.0,8708.0,3940,720.14,47.907
11,0.50476,0.0001887,6040.7,8708.0,3563,553.33,54.347
12,0.43069,0.0001862,6025.5,8708.0,2213,519.03,58.61
13,0.43634,0.0001833,6036.5,8708.0,1987,479.56,62.754
14,0.36472,0.0001803,6045.9,8708.0,2612,605.41,67.068
15,0.33417,0.000177,6100.3,8708.0,2666,547.56,71.937
16,0.46867,0.0001735,6112.8,8708.0,2734,644.38,76.18
17,0.35837,0.0001698,6097.6,8708.0,2832,680.01,80.345
18,0.42542,0.0001659,6097.6,8708.0,2686,711.65,84.119
19,0.3111,0.0001618,6156.2,8712.0,2481,617.66,88.136
20,0.36746,0.0001575,6045.9,8712.0,2306,616.39,91.877
21,0.40429,0.000153,6063.0,8712.0,2220,549.19,95.919
22,0.3803,0.0001485,6029.1,8712.0,2293,583.65,99.848
23,0.31335,0.0001437,6138.2,8712.0,3278,717.46,104.417
24,0.26496,0.0001389,6212.4,8712.0,4570,801.55,110.118
25,0.31466,0.0001339,6294.6,8712.0,4146,737.37,115.741
26,0.46863,0.0001289,6048.7,8712.0,2479,637.68,119.628
27,0.24832,0.0001237,6134.8,8712.0,2424,595.57,123.698
28,0.34913,0.0001185,6018.5,8712.0,1996,566.09,127.224
29,0.2832,0.0001133,6137.3,8712.0,2817,663.72,131.469
30,0.30185,0.000108,6032.5,8712.0,2648,644.26,135.579
31,0.39835,0.0001027,6047.5,8712.0,2435,645.97,139.348
32,0.34879,9.73e-05,6082.6,8712.0,2982,719.57,143.492
33,0.29087,9.2e-05,6090.2,8712.0,2752,694.91,147.453
34,0.28528,8.67e-05,6099.4,8712.0,2448,639.17,151.283
35,0.35933,8.15e-05,6071.0,8712.0,2622,622.91,155.492
36,0.35509,7.63e-05,6158.6,8712.0,1913,483.44,159.449
37,0.29303,7.11e-05,6116.5,8712.0,2775,658.67,163.662
38,0.23925,6.61e-05,6247.2,8712.0,3487,729.51,168.442
39,0.23063,6.11e-05,6083.8,8712.0,4812,812.94,174.361
40,0.38921,5.63e-05,6105.5,8712.0,3478,717.2,179.211
41,0.33936,5.15e-05,6049.6,8712.0,2401,621.42,183.074
42,0.26166,4.7e-05,6075.9,8712.0,1922,481.56,187.065
43,0.27644,4.25e-05,6160.5,8712.0,2548,607.44,191.26
44,0.25978,3.82e-05,6046.9,8712.0,2336,580.21,195.286
45,0.31506,3.41e-05,6082.3,8712.0,2910,692.41,199.489
46,0.28832,3.02e-05,6147.3,8712.0,2631,630.14,203.664
47,0.33831,2.65e-05,6074.3,8712.0,2983,735.98,207.717
48,0.25645,2.3e-05,6054.5,8712.0,2277,597.38,211.529
49,0.30304,1.97e-05,6015.4,8712.0,2377,618.07,215.375
50,0.31889,1.67e-05,6025.5,8712.0,2503,604.99,219.512
51,0.31121,1.38e-05,6123.8,8712.0,2387,607.3,223.443
52,0.27688,1.13e-05,6031.9,8712.0,2836,648.65,227.815
53,0.22546,8.9e-06,6058.5,8712.0,4014,774.4,232.998
54,0.23641,6.9e-06,6118.9,8712.0,4138,762.91,238.422
55,0.45938,5.1e-06,6048.7,8712.0,3333,705.49,243.147
56,0.19887,3.5e-06,6067.3,8712.0,2274,553.0,247.259
57,0.25297,2.3e-06,6133.9,8712.0,2205,569.92,251.128
58,0.27263,1.3e-06,6032.8,8712.0,2281,544.7,255.315
59,0.23127,6e-07,6032.8,8712.0,2666,673.73,259.272
60,0.35517,1e-07,6063.4,8712.0,2834,663.74,263.542
