step,loss,lr,mem_alloc_mib,mem_reserved_mib,tokens_this_step,tokens_per_sec,elapsed_s
1,0.7151,0.0002,5588.9,15456.0,3426,122.62,27.94
2,0.52413,0.0002,5561.7,15492.0,3222,148.14,49.689
3,0.39496,0.0001999,5560.2,17010.0,3022,125.34,73.799
4,0.48407,0.0001994,5597.1,17010.0,2766,234.42,85.598
5,0.29927,0.0001987,5589.5,17010.0,3071,184.23,102.268
6,0.36236,0.0001977,5610.4,18696.0,3552,92.19,140.798
7,0.32179,0.0001965,5564.0,20478.0,3949,64.99,201.562
8,0.33258,0.0001949,5611.3,20478.0,3717,100.06,238.709
9,0.3449,0.0001931,5595.0,20478.0,2764,212.48,251.717
10,0.41588,0.0001911,5572.7,20490.0,1932,471.89,255.812
11,0.30149,0.0001887,5617.4,20490.0,3441,129.48,282.387
12,0.30718,0.0001862,5539.0,20490.0,3327,112.41,311.985
13,0.35665,0.0001833,5584.6,20490.0,3047,177.96,329.106
14,0.33248,0.0001803,5590.7,20490.0,3090,128.15,353.219
15,0.35797,0.000177,5529.8,20490.0,2806,130.93,374.651
16,0.30238,0.0001735,5641.2,20490.0,3579,82.58,417.991
17,0.29486,0.0001698,5638.5,20490.0,3886,74.79,469.949
18,0.37811,0.0001659,5641.4,20490.0,2557,185.47,483.735
19,0.29727,0.0001618,5583.7,20490.0,4089,63.83,547.794
20,0.30513,0.0001575,5572.1,20490.0,3824,85.32,592.616
21,0.30929,0.000153,5582.6,20490.0,3029,128.16,616.251
22,0.36741,0.0001485,5606.9,20490.0,3644,106.65,650.42
23,0.29964,0.0001437,5529.5,20490.0,2959,100.42,679.886
24,0.41634,0.0001389,5609.8,20490.0,3243,111.86,708.878
25,0.38049,0.0001339,5616.8,20490.0,2543,494.75,714.018
26,0.31409,0.0001289,5605.8,20490.0,3449,101.71,747.927
27,0.31271,0.0001237,5584.0,20490.0,3419,86.31,787.538
28,0.34516,0.0001185,5522.5,20490.0,3488,94.09,824.607
29,0.37901,0.0001133,5573.3,20490.0,3149,115.79,851.803
30,0.2852,0.000108,5565.2,20490.0,2327,191.82,863.934
31,0.39853,0.0001027,5595.6,20490.0,3313,157.56,884.961
32,0.28529,9.73e-05,5565.2,20490.0,2847,200.23,899.179
33,0.42443,9.2e-05,5546.3,20492.0,2724,230.56,910.994
34,0.3717,8.67e-05,5585.2,20492.0,3538,98.14,947.044
35,0.39249,8.15e-05,5631.6,20492.0,3191,147.77,968.639
36,0.30433,7.63e-05,5584.0,20492.0,3597,100.75,1004.341
37,0.26015,7.11e-05,5567.2,20492.0,2896,226.96,1017.101
38,0.29514,6.61e-05,5569.4,20492.0,2295,604.03,1020.9
39,0.2645,6.11e-05,5612.7,20492.0,3272,148.71,1042.903
40,0.38758,5.63e-05,5521.4,20492.0,3718,82.43,1088.008
41,0.29475,5.15e-05,5535.3,20492.0,1906,387.95,1092.921
42,0.31524,4.7e-05,5555.0,20492.0,3868,73.19,1145.773
43,0.30224,4.25e-05,5582.3,20492.0,2995,155.25,1165.064
44,0.28936,3.82e-05,5552.1,20492.0,2575,185.61,1178.938
45,0.27036,3.41e-05,5561.7,20492.0,3353,140.22,1202.85
46,0.28774,3.02e-05,5542.0,20492.0,2887,134.72,1224.279
47,0.29039,2.65e-05,5614.2,20492.0,3540,107.92,1257.082
48,0.2353,2.3e-05,5700.3,20492.0,3909,77.9,1307.259
49,0.30373,1.97e-05,5671.6,20492.0,3905,82.65,1354.504
50,0.24291,1.67e-05,5644.3,20492.0,3768,85.11,1398.776
51,0.38091,1.38e-05,5588.9,20492.0,3426,138.4,1423.531
52,0.27795,1.13e-05,5561.7,20492.0,3222,149.26,1445.117
53,0.22731,8.9e-06,5560.2,20492.0,3022,126.15,1469.072
54,0.31805,6.9e-06,5597.1,20492.0,2766,234.36,1480.874
55,0.20346,5.1e-06,5589.5,20492.0,3071,183.76,1497.586
56,0.24327,3.5e-06,5610.4,20492.0,3552,93.09,1535.745
57,0.22511,2.3e-06,5564.0,20492.0,3949,65.66,1595.892
58,0.25919,1.3e-06,5611.3,20492.0,3717,99.74,1633.159
59,0.2753,6e-07,5595.0,20492.0,2764,216.69,1645.915
60,0.29998,1e-07,5572.7,20492.0,1932,550.17,1649.427
