step,loss,lr,mem_alloc_mib,mem_reserved_mib,tokens_this_step,tokens_per_sec,elapsed_s
1,0.77688,0.0002,5597.3,9734.0,1877,802.95,2.338
2,0.69096,0.0002,5597.3,9754.0,2005,1072.79,4.207
3,0.60892,0.0001999,5597.3,10114.0,1998,1068.57,6.076
4,0.48423,0.0001994,5565.1,10114.0,1843,1032.27,7.862
5,0.39689,0.0001987,5597.3,10120.0,1939,1043.41,9.72
6,0.50749,0.0001977,5577.0,10134.0,1799,1030.38,11.466
7,0.44765,0.0001965,5577.3,10524.0,1704,985.44,13.195
8,0.45655,0.0001949,5597.3,10524.0,1879,1047.13,14.99
9,0.40866,0.0001931,5597.3,10524.0,1973,1071.86,16.83
10,0.332,0.0001911,5595.6,10524.0,2039,1083.69,18.712
11,0.55489,0.0001887,5584.0,10524.0,1982,1060.51,20.581
12,0.38891,0.0001862,5569.5,10524.0,1879,1033.3,22.399
13,0.39089,0.0001833,5579.9,10524.0,1738,1001.58,24.135
14,0.3898,0.0001803,5588.9,10524.0,1823,1021.45,25.919
15,0.3287,0.000177,5597.3,10524.0,1938,1055.82,27.755
16,0.45592,0.0001735,5597.3,10524.0,1884,1047.62,29.553
17,0.36635,0.0001698,5597.3,10524.0,2024,1075.52,31.435
18,0.31986,0.0001659,5597.3,10524.0,1933,1053.44,33.27
19,0.2792,0.0001618,5597.3,10524.0,1854,1018.56,35.09
20,0.32469,0.0001575,5588.9,10524.0,1835,1028.11,36.875
21,0.36801,0.000153,5597.3,10524.0,1759,1006.98,38.622
22,0.38517,0.0001485,5572.9,10524.0,1733,994.53,40.364
23,0.30993,0.0001437,5597.3,10524.0,1973,1068.66,42.211
24,0.29594,0.0001389,5597.3,10524.0,2048,1084.66,44.099
25,0.33519,0.0001339,5597.3,10524.0,2039,1080.35,45.986
26,0.44464,0.0001289,5591.5,10524.0,1942,1041.47,47.851
27,0.21756,0.0001237,5597.3,10524.0,1790,1024.62,49.598
28,0.32276,0.0001185,5562.8,10524.0,1748,985.45,51.372
29,0.29903,0.0001133,5597.3,10524.0,1870,1039.42,53.171
30,0.29296,0.000108,5576.1,10524.0,1865,1037.94,54.967
31,0.34282,0.0001027,5591.1,10524.0,2005,1067.03,56.846
32,0.30694,9.73e-05,5597.3,10524.0,1998,1063.55,58.725
33,0.2057,9.2e-05,5597.3,10524.0,1954,1060.45,60.568
34,0.25446,8.67e-05,5597.3,10524.0,1883,1029.42,62.397
35,0.28676,8.15e-05,5597.3,10524.0,1835,1027.18,64.183
36,0.2794,7.63e-05,5597.3,10524.0,1682,971.48,65.915
37,0.27392,7.11e-05,5597.3,10524.0,1810,1027.64,67.676
38,0.23602,6.61e-05,5597.3,10524.0,1973,1067.45,69.524
39,0.22683,6.11e-05,5597.3,10524.0,2048,1083.52,71.415
40,0.35437,5.63e-05,5597.3,10524.0,2019,1071.53,73.299
41,0.29425,5.15e-05,5592.4,10524.0,1945,1041.52,75.166
42,0.21633,4.7e-05,5597.3,10524.0,1686,928.66,76.982
43,0.26178,4.25e-05,5597.3,10524.0,1792,1004.77,78.765
44,0.23065,3.82e-05,5589.8,10524.0,1909,1040.79,80.599
45,0.23427,3.41e-05,5597.3,10524.0,1903,1053.51,82.406
46,0.23562,3.02e-05,5597.3,10524.0,2005,1066.82,84.285
47,0.2133,2.65e-05,5597.3,10524.0,1998,1062.83,86.165
48,0.1952,2.3e-05,5597.0,10524.0,1842,1026.59,87.959
49,0.21444,1.97e-05,5559.9,10524.0,1811,1016.04,89.742
50,0.24282,1.67e-05,5569.5,10524.0,1832,1022.88,91.533
51,0.23385,1.38e-05,5597.3,10528.0,1800,1008.29,93.318
52,0.21834,1.13e-05,5575.6,10528.0,1804,1023.78,95.08
53,0.21605,8.9e-06,5597.3,10528.0,2048,1083.05,96.971
54,0.19069,6.9e-06,5597.3,10528.0,2039,1078.95,98.861
55,0.39231,5.1e-06,5591.5,10528.0,1962,1047.15,100.735
56,0.15809,3.5e-06,5597.3,10528.0,1899,1036.81,102.566
57,0.2036,2.3e-06,5597.3,10528.0,1738,997.83,104.308
58,0.23926,1.3e-06,5576.4,10528.0,1751,1000.38,106.058
59,0.19261,6e-07,5576.4,10528.0,1938,1052.74,107.899
60,0.25298,1e-07,5597.3,10528.0,1956,1059.36,109.746
